"ID","Gender","Age","Vision","Background","MedExperience","PC","VR","Method","Model","Q1task1","Q2task1","Q3task1","Q4taks1","Q5task1","Q6task1","Q7task1","Q8task1","Q9task1","Q10task1","Q1task2","Q2task2","Q3task2","Q4task2","Q5task2","Q6task2","Q7task2","Q8task2","Q9task2","Q10task2","BF1","BF2","BF3","BF4","BF5","BF6","BF7","BF8","BF9","BF10","BF11","BF12","BF13","BF14","BF15","BF16","BF17","BF18","BF19","BF20","BF21"
72,"F",32,"Corrected","M","6to10","Over10","0","HMD","P",4,1,5,2,5,1,4,1,5,1,4,1,4,2,5,1,4,1,5,2,2,1,4,3,4,4,3,2,2,3,2,1,4,2,4,4,1,4,3,3,2
53,"F",24,"Normal","M","4to6","Over10","0","HMD","P",4,1,5,1,4,1,5,1,4,2,3,1,4,1,3,1,4,1,3,1,2,4,4,2,4,5,5,4,5,4,1,3,4,2,4,5,3,4,2,5,1
52,"F",38,"Normal","M","Over10","Over10","0","HMD","P",2,1,4,1,4,2,5,2,4,3,1,1,5,3,3,3,4,3,4,2,5,2,5,2,4,2,5,2,4,4,5,3,4,5,4,2,1,4,5,5,2
12,"M",27,"Normal","M","6to10","4to6","0","HMD","L",5,2,4,2,4,2,5,2,4,1,3,2,4,3,3,4,4,2,3,1,3,2,5,2,5,3,3,1,4,5,3,3,5,2,4,3,4,5,3,4,2
81,"M",40,"Corrected","NM","0","Over10","0","DT","P",1,1,5,4,5,4,5,1,5,1,1,1,5,4,5,1,4,1,5,1,4,2,5,3,4,2,4,3,2,3,4,4,3,2,3,2,3,4,3,4,2
26,"F",35,"Corrected","NM","0","Over10","0","DT","L",3,1,4,2,4,3,3,2,3,2,3,2,3,2,2,1,3,3,3,1,3,2,4,3,4,3,4,2,3,3,2,1,4,3,4,3,2,4,3,5,1
24,"F",42,"Corrected","NM","0","0","0","HMD","L",4,2,5,2,4,2,4,1,3,5,2,2,4,3,3,3,4,2,1,4,4,3,5,2,4,4,2,4,4,4,3,3,4,2,3,2,4,5,3,2,3
23,"M",27,"Normal","M","2to4","Over10","less2","HMD","L",4,3,4,1,5,4,5,1,5,1,3,4,2,1,3,3,2,4,1,1,2,3,4,1,5,4,5,2,4,3,2,2,4,2,5,3,2,4,3,4,1
32,"F",24,"Corrected","M","0","Over10","0","HMD","L",5,2,2,5,5,2,2,1,5,5,5,3,3,4,5,2,3,1,3,5,2,5,4,1,5,4,5,2,3,3,2,2,4,2,4,3,2,5,4,5,4
22,"F",25,"Corrected","M","4to6","Over10","0","DT","L",5,5,4,5,5,1,5,1,3,4,5,5,5,2,5,1,5,1,4,1,4,1,5,1,5,4,3,4,1,5,3,1,3,4,5,4,1,5,4,5,2
35,"M",22,"Corrected","M","4to6","Over10","less2","DT","L",5,1,4,1,5,1,3,1,5,2,5,1,4,1,5,1,3,2,5,2,4,4,5,1,4,4,4,2,4,3,4,3,4,1,4,2,2,5,1,2,4
36,"M",28,"Normal","M","4to6","Over10","0","DT","L",5,4,4,5,4,2,5,4,4,1,5,1,4,5,5,1,5,3,4,1,2,1,4,2,4,5,4,1,5,4,4,2,4,1,3,4,3,5,1,3,2
50,"F",27,"Normal","M","0","Over10","0","HMD","P",5,1,5,5,5,1,5,1,4,4,5,1,5,4,5,1,5,1,5,1,4,5,5,1,5,4,4,1,2,5,4,1,4,4,4,4,1,4,4,5,1
51,"F",31,"Normal","M","2to4","4to6","0","HMD","P",5,2,4,3,5,2,2,3,4,4,4,2,3,4,4,3,3,3,4,3,4,2,4,4,4,4,3,2,5,3,3,2,3,3,3,3,3,3,2,4,2
37,"M",53,"Corrected","M","Over10","Over10","less2","DT","L",5,1,5,1,5,2,5,5,5,1,5,1,5,5,5,2,5,1,5,1,1,4,4,1,5,4,2,1,3,2,2,2,4,1,4,4,4,4,1,4,2
71,"M",40,"Corrected","M","Over10","Over10","less2","HMD","P",3,3,5,1,5,1,5,1,5,1,3,3,5,1,4,5,5,4,5,1,1,2,4,1,4,4,5,2,5,4,1,4,5,2,5,4,4,5,2,4,1
31,"M",26,"Corrected","M","less2","Over10","0","DT","L",3,1,5,3,3,2,4,1,3,3,4,1,5,3,3,2,4,1,3,2,3,4,4,2,5,3,3,1,4,3,2,4,5,1,2,4,3,5,2,2,5
33,"M",34,"Corrected","M","2to4","Over10","0","DT","L",4,2,4,1,4,1,4,2,4,1,2,2,3,1,3,3,4,3,3,1,3,3,3,2,4,4,4,3,3,3,2,2,3,2,4,4,2,3,3,4,2
34,"M",37,"Normal","M","Over10","Over10","0","DT","L",3,2,5,3,4,2,4,2,4,1,2,3,5,2,4,2,5,2,4,2,3,4,4,2,5,5,3,5,5,5,3,4,5,2,5,5,3,5,1,5,1
49,"M",31,"Normal","M","2to4","Over10","0","DT","L",5,1,5,3,5,1,5,1,4,1,4,1,5,1,5,1,5,1,4,1,2,2,5,1,5,5,4,1,5,3,1,3,4,2,4,3,3,5,2,3,3
7,"F",24,"Normal","M","0","Over10","0","HMD","L",4,2,2,1,4,2,5,2,1,5,4,1,5,1,5,2,5,3,4,2,1,5,4,5,5,4,2,2,1,2,1,3,1,4,5,4,4,2,5,4,1
21,"M",24,"Normal","NM","0","Over10","less2","HMD","L",4,1,5,1,5,1,4,1,3,2,2,3,3,4,2,1,5,2,3,2,5,1,2,3,2,2,3,5,5,4,5,5,2,2,2,1,5,3,5,4,2
65,"F",32,"Corrected","M","2to4","Over10","0","HMD","P",5,1,5,1,5,1,5,1,5,1,2,1,1,1,1,1,2,1,1,1,1,4,5,1,5,5,5,2,5,5,2,5,5,2,5,5,5,5,1,5,1
48,"Keine Angabe",24,"Corrected","NM","0","6to10","0","DT","L",3,1,4,2,3,4,3,2,3,2,4,2,5,5,3,3,3,2,4,1,3,4,5,2,5,5,5,4,2,5,2,1,3,4,5,5,1,4,3,5,1
6,"M",25,"Normal","NM","0","Over10","less2","HMD","L",4,1,4,1,4,2,4,1,3,2,3,3,4,3,4,3,4,4,2,3,3,3,4,4,5,4,4,4,3,4,3,2,3,2,5,3,2,4,3,5,1
47,"M",24,"Corrected","M","0","Over10","0","DT","L",5,1,5,1,5,1,4,1,5,1,4,1,5,1,5,1,5,1,5,1,2,3,5,2,5,5,3,1,2,5,3,3,5,2,4,4,3,5,3,4,2
46,"M",35,"Normal","NM","0","Over10","0","DT","L",5,2,5,1,5,1,5,2,4,1,3,1,4,1,5,1,5,1,4,1,1,3,4,1,5,5,4,4,2,2,1,2,4,1,5,5,1,4,2,4,2
70,"Divers",29,"Corrected","NM","0","Over10","0","HMD","P",2,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,2,2,4,2,5,4,3,3,4,4,1,4,2,3,4,4,2,4,2,4,1
45,"F",29,"Corrected","NM","0","Over10","2to4","DT","L",4,1,4,1,4,1,4,2,4,1,3,3,2,1,2,3,4,4,3,1,2,4,4,2,5,5,4,2,2,4,2,4,5,2,5,4,4,5,2,5,1
99,"M",19,"Corrected","NM","0","4to6","0","DT","P",3,1,4,1,5,1,4,1,5,1,4,1,4,1,4,1,4,1,5,1,2,4,4,4,4,4,5,5,2,5,5,5,2,5,4,2,5,2,5,5,1
69,"F",33,"Corrected","M","4to6","Over10","0","HMD","P",5,1,5,1,4,1,5,1,4,1,1,5,2,5,3,2,2,2,2,4,2,2,4,4,5,4,4,2,2,4,1,2,3,2,4,4,2,4,5,5,1
98,"F",24,"Normal;Farbblind oder -defizient","M","less2","Over10","0","DT","P",5,1,5,2,5,1,4,1,4,2,4,3,2,3,2,4,3,2,2,1,4,1,3,4,5,4,5,2,2,5,2,4,4,4,3,4,1,5,5,5,1
94,"F",30,"Corrected","M","6to10","6to10","0","DT","P",2,2,4,2,5,1,4,1,3,2,1,2,4,4,4,2,3,3,1,4,3,4,4,2,2,4,4,4,5,4,2,3,3,4,2,3,1,3,4,1,5
93,"M",38,"Corrected","NM","0","Over10","less2","DT","P",4,2,4,1,5,2,5,2,4,1,4,2,5,2,4,1,5,1,4,2,4,1,4,2,4,3,4,2,3,4,4,4,4,4,3,2,2,4,4,5,1
